check_date,engine,domain,hide_brand,total_queries,total_weighted_freq,visibility_weighted,visibility_unweighted,top3,top10,top11_50,top1_50,not_found,avg_position,median_position,unique_urls
2026-08-02,yandex,lampsshop.ru,True,1278,87721.0,3.39,2.67,3,25,167,192,1086,22.8,21.0,57
2026-08-02,yandex,lampsshop.ru,False,1278,87721.0,3.39,2.67,3,25,167,192,1086,22.8,21.0,57
2026-08-02,yandex,eurosvet.ru,True,1278,87721.0,1.19,0.39,2,2,37,39,1239,33.6,34.0,18
2026-08-02,yandex,eurosvet.ru,False,1278,87721.0,1.19,0.39,2,2,37,39,1239,33.6,34.0,18
2026-08-02,yandex,maytoni.ru,True,1278,87721.0,7.19,0.88,7,10,34,44,1234,27.1,30.0,22
2026-08-02,yandex,maytoni.ru,False,1278,87721.0,7.19,0.88,7,10,34,44,1234,27.1,30.0,22
2026-08-02,yandex,elektrostandard.ru,True,1278,87721.0,2.26,2.32,8,34,75,109,1169,19.3,18.0,46
2026-08-02,yandex,elektrostandard.ru,False,1278,87721.0,2.26,2.32,8,34,75,109,1169,19.3,18.0,46
2026-08-02,yandex,msveta.ru,True,1278,87721.0,7.96,6.53,9,91,269,360,918,19.3,18.0,163
2026-08-02,yandex,msveta.ru,False,1278,87721.0,7.96,6.53,9,91,269,360,918,19.3,18.0,163
2026-08-02,yandex,lustrypremium.ru,True,1278,87721.0,0.72,2.05,10,30,52,82,1196,15.9,14.5,36
2026-08-02,yandex,lustrypremium.ru,False,1278,87721.0,0.72,2.05,10,30,52,82,1196,15.9,14.5,36
